Name,Price
Brushed leather card holder with shoulder strap,£ 950
Brushed leather hair clasp with stick,£ 350
Brushed leather belt,£ 450
Metal hair clip,£ 420
Saffiano Leather Card Holder,£ 290
Large Saffiano leather wallet,£ 690
Small Saffiano Leather Wallet,£ 570
Large Saffiano and leather wallet,£ 620
Metal hair clip,£ 370
Metal hair clip,£ 390
Metal hair clips,£ 450
Brushed leather badge holder,£ 660
Saffiano Leather Card Holder,£ 290
Small Saffiano Leather Wallet,£ 520
Small Saffiano Leather Wallet,£ 480
Saffiano Leather Badge Holder,£ 420
Saffiano leather badge holder,£ 440
Saffiano leather card holder,£ 320
Small Saffiano leather wallet,£ 510
Saffiano leather card holder,£ 420
Re-Nylon bucket hat,£ 520
Re-Nylon headband,£ 390
Leather hair clip,£ 350
Leather belt,£ 480
